,Kingdom,Phylum,Class,Order,Family,Genus
ASV_V3V404247,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,Thioalkalivibrio
ASV_V3V404273,Bacteria,Chloroflexi,Dehalococcoidia,GIF3,,
ASV_V3V404298,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV_V3V404299,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,
ASV_V3V404321,Bacteria,Proteobacteria,Gammaproteobacteria,,,
ASV_V3V404323,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V404324,Bacteria,Marinimicrobia_(SAR406_clade),,,,
ASV_V3V404327,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas
ASV_V3V404330,Bacteria,Patescibacteria,Parcubacteria,,,
ASV_V3V404343,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thiohalophilus
ASV_V3V404367,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,
ASV_V3V404368,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,
ASV_V3V404389,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V404413,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V404414,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Campbellbacteria,,
ASV_V3V404440,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
ASV_V3V404441,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfatiglans
ASV_V3V404442,Bacteria,Chloroflexi,Anaerolineae,,,
ASV_V3V404470,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,MSBL7
ASV_V3V404471,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V404472,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfatiglans
ASV_V3V404473,Bacteria,,,,,
ASV_V3V404489,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paraclostridium
