,Kingdom,Phylum,Class,Order,Family,Genus
ASV_V3V400759,Bacteria,Nitrospinae,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina
ASV_V3V400760,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Cyanobacteriaceae,Cyanobacterium_CLg1
ASV_V3V400761,Bacteria,Halanaerobiaeota,Halanaerobiia,Halanaerobiales,Halanaerobiaceae,Halanaerobium
ASV_V3V400762,Bacteria,Nitrospirae,Thermodesulfovibrionia,,,
ASV_V3V400763,Bacteria,Latescibacteria,,,,
ASV_V3V400764,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV_V3V400765,Bacteria,Acidobacteria,Acidobacteriia,Subgroup_2,,
ASV_V3V400766,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V400767,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V400768,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_V3V400769,Bacteria,Chloroflexi,Dehalococcoidia,GIF9,AB-539-J10,SCGC-AB-539-J10
ASV_V3V400770,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
ASV_V3V400771,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,
ASV_V3V400772,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,
ASV_V3V400773,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,SB-5,
ASV_V3V400774,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V400775,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,
ASV_V3V400776,Bacteria,Bacteroidetes,Ignavibacteria,SJA-28,,
ASV_V3V400778,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,mle1-7
ASV_V3V400779,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V400780,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
ASV_V3V400781,Bacteria,Nitrospirae,Thermodesulfovibrionia,,,
ASV_V3V400782,Bacteria,Proteobacteria,Gammaproteobacteria,,,
ASV_V3V400785,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
ASV_V3V400787,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,Inmirania
ASV_V3V400788,Bacteria,Fibrobacteres,Chitinivibrionia,,,
ASV_V3V400789,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Phaeodactylibacter
ASV_V3V400790,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geothermobacter
ASV_V3V400791,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
ASV_V3V400792,Bacteria,Chloroflexi,Anaerolineae,,,
ASV_V3V400793,Bacteria,Bacteroidetes,Rhodothermia,Balneolales,Balneolaceae,MAT-CR-P4-C12
ASV_V3V400796,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,
ASV_V3V400798,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400799,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_V3V400800,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,
ASV_V3V400801,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400802,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,SEEP-SRB1
ASV_V3V400803,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400804,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400805,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V400806,Bacteria,Chloroflexi,Dehalococcoidia,Napoli-4B-65,,
ASV_V3V400807,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae_(Subgroup_3),PAUC26f
ASV_V3V400809,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,,
ASV_V3V400810,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Lutimaribacter
ASV_V3V400811,Bacteria,TA06,,,,
ASV_V3V400812,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,SB-5,
ASV_V3V400813,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,
ASV_V3V400815,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V400816,Bacteria,Latescibacteria,,,,
ASV_V3V400817,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,,
ASV_V3V400819,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V400821,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,
ASV_V3V400822,Bacteria,Zixibacteria,,,,
ASV_V3V400823,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,,
ASV_V3V400826,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V400827,Bacteria,Nitrospirae,Thermodesulfovibrionia,,,
ASV_V3V400828,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,
ASV_V3V400829,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidetes_VC2.1_Bac22,,
ASV_V3V400830,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium
ASV_V3V400831,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,
ASV_V3V400832,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V400833,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,
ASV_V3V400834,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Calorithrix
ASV_V3V400835,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,
ASV_V3V400836,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
ASV_V3V400837,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus
ASV_V3V400838,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Pelolinea
ASV_V3V400839,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus
ASV_V3V400840,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400841,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Sva1033,
ASV_V3V400842,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,
ASV_V3V400844,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Fulvivirga
ASV_V3V400847,Bacteria,Proteobacteria,Deltaproteobacteria,,,
ASV_V3V400848,Bacteria,Zixibacteria,,,,
ASV_V3V400849,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,MND1
ASV_V3V400850,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,
ASV_V3V400851,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,
ASV_V3V400852,Bacteria,Proteobacteria,Alphaproteobacteria,,,
ASV_V3V400853,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,
ASV_V3V400854,Bacteria,Proteobacteria,Gammaproteobacteria,,,
ASV_V3V400855,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,,
ASV_V3V400856,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1
ASV_V3V400857,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatirhabdium
ASV_V3V400858,Bacteria,Proteobacteria,Alphaproteobacteria,,,
ASV_V3V400859,Bacteria,Chloroflexi,Dehalococcoidia,MSBL5,,
ASV_V3V400860,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
ASV_V3V400861,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,
ASV_V3V400863,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400864,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,AKYG1722,
ASV_V3V400866,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,,
ASV_V3V400867,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V400868,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thiohalophilus
ASV_V3V400869,Bacteria,,,,,
ASV_V3V400871,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Phaeodactylibacter
ASV_V3V400872,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,
ASV_V3V400873,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,
ASV_V3V400874,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,
ASV_V3V400875,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400876,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,
ASV_V3V400877,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400878,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400879,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,
ASV_V3V400880,Bacteria,Halanaerobiaeota,Halanaerobiia,Halanaerobiales,Halanaerobiaceae,Halanaerobium
ASV_V3V400881,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Marinicella
ASV_V3V400882,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,
ASV_V3V400883,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,
ASV_V3V400884,Bacteria,Actinobacteria,RBG-16-55-12,,,
ASV_V3V400886,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiohalocapsa
ASV_V3V400887,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,
ASV_V3V400889,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400890,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,
ASV_V3V400892,Bacteria,Nitrospirae,Thermodesulfovibrionia,,,
ASV_V3V400894,Bacteria,Chloroflexi,OLB14,,,
ASV_V3V400895,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,,
ASV_V3V400896,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Dinghuibacter
ASV_V3V400897,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,,
ASV_V3V400898,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus
ASV_V3V400899,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,ADurb.Bin120
ASV_V3V400902,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Cyanobacteriaceae,
ASV_V3V400903,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_V3V400904,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V400905,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,PHOS-HE36,
ASV_V3V400906,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400907,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus
ASV_V3V400908,Bacteria,Proteobacteria,Deltaproteobacteria,DTB120,,
ASV_V3V400910,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,
ASV_V3V400911,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V400912,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,UTCFX1
ASV_V3V400913,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V400914,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,
ASV_V3V400915,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,
ASV_V3V400916,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V400917,Bacteria,Bacteroidetes,Rhodothermia,Rhodothermales,Rhodothermaceae,
ASV_V3V400918,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV_V3V400922,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter
ASV_V3V400923,Bacteria,Proteobacteria,Gammaproteobacteria,Milano-WF1B-44,,
ASV_V3V400924,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,
ASV_V3V400926,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfosarcina
ASV_V3V400927,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
ASV_V3V400928,Bacteria,Proteobacteria,Gammaproteobacteria,,,
ASV_V3V400929,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis
ASV_V3V400930,Bacteria,Planctomycetes,Phycisphaerae,CCM11a,,
ASV_V3V400931,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,
ASV_V3V400932,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,,
ASV_V3V400933,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,
ASV_V3V400934,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae_(Subgroup_3),PAUC26f
ASV_V3V400935,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Salinimicrobium
ASV_V3V400936,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
ASV_V3V400937,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus
ASV_V3V400938,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,
ASV_V3V400940,Bacteria,Chloroflexi,Anaerolineae,,,
ASV_V3V400941,Bacteria,Nitrospirae,Thermodesulfovibrionia,,,
ASV_V3V400942,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V400943,Bacteria,Nitrospirae,BMS9AB35,,,
ASV_V3V400945,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_V3V400946,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Doudnabacteria,,
ASV_V3V400949,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,
ASV_V3V400950,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter
ASV_V3V400951,Bacteria,,,,,
ASV_V3V400952,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400953,Bacteria,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,
ASV_V3V400954,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,
ASV_V3V400955,Bacteria,Modulibacteria,Moduliflexia,Moduliflexales,Moduliflexaceae,
ASV_V3V400956,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV_V3V400957,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V400958,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,ADurb.Bin120
ASV_V3V400960,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,,
ASV_V3V400962,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,Thiogranum
ASV_V3V400963,Bacteria,Patescibacteria,Parcubacteria,Paceibacterales,Paceibacteraceae,Candidatus_Paceibacter
ASV_V3V400964,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas
ASV_V3V400965,Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,
ASV_V3V400966,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1
ASV_V3V400967,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400968,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Oceanirhabdus
ASV_V3V400969,Bacteria,Gemmatimonadetes,S0134_terrestrial_group,,,
ASV_V3V400970,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidetes_VC2.1_Bac22,,
ASV_V3V400971,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,
ASV_V3V400973,Bacteria,Gemmatimonadetes,S0134_terrestrial_group,,,
ASV_V3V400974,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium
ASV_V3V400976,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,JTB255_marine_benthic_group
ASV_V3V400977,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,ADurb.Bin120
ASV_V3V400978,Bacteria,Chloroflexi,Anaerolineae,,,
ASV_V3V400979,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,SB-5,
ASV_V3V400980,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V400981,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,
ASV_V3V400982,Bacteria,Patescibacteria,ABY1,Candidatus_Falkowbacteria,,
ASV_V3V400984,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400985,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V400986,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,,
ASV_V3V400990,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,,
ASV_V3V400991,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,OLB12
ASV_V3V400992,Bacteria,Proteobacteria,Gammaproteobacteria,,,
ASV_V3V400993,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,
ASV_V3V400994,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_3,Sporosalibacterium
ASV_V3V400995,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V400996,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
ASV_V3V400997,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400998,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,
ASV_V3V400999,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Dinghuibacter
ASV_V3V401002,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V401003,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V401004,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
ASV_V3V401005,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV_V3V401006,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Phaeodactylibacter
ASV_V3V401007,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,
ASV_V3V401008,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga
ASV_V3V401009,Bacteria,Zixibacteria,,,,
ASV_V3V401010,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,
ASV_V3V401011,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,
ASV_V3V401013,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,,
ASV_V3V401014,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter
ASV_V3V401017,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Sva1033,
ASV_V3V401018,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,,
ASV_V3V401019,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Parahaliea
ASV_V3V401020,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324_clade(Marine_group_B),,
ASV_V3V401022,Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,,
ASV_V3V401023,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V401024,Bacteria,Chloroflexi,JG30-KF-CM66,,,
ASV_V3V401025,Bacteria,Latescibacteria,Latescibacteria,Latescibacterales,Latescibacteraceae,
ASV_V3V401027,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,MSBL7
ASV_V3V401028,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Candidatus_Thiobios
ASV_V3V401031,Bacteria,Halanaerobiaeota,Halanaerobiia,Halanaerobiales,Halobacteroidaceae,
ASV_V3V401032,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,Thiohalomonas
ASV_V3V401033,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_V3V401034,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V401035,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
ASV_V3V401036,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V401037,Bacteria,Chloroflexi,Dehalococcoidia,GIF3,,
ASV_V3V401039,Bacteria,Spirochaetes,Leptospirae,Leptospirales,Leptospiraceae,RBG-16-49-21
ASV_V3V401040,Bacteria,Tenericutes,Mollicutes,Haloplasmatales,Haloplasmataceae,Haloplasma
ASV_V3V401041,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V401042,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,,
ASV_V3V401045,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V401046,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V401048,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Calorithrix
ASV_V3V401049,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V401050,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,,
ASV_V3V401051,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,
ASV_V3V401052,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Microcystaceae,
ASV_V3V401053,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V401054,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-012
ASV_V3V401055,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V401056,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29
ASV_V3V401057,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
ASV_V3V401058,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
ASV_V3V401059,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfatiglans
ASV_V3V401060,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter
ASV_V3V401062,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
ASV_V3V401066,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
ASV_V3V401067,Bacteria,Verrucomicrobia,Verrucomicrobiae,S-BQ2-57_soil_group,,
ASV_V3V401068,Bacteria,Chloroflexi,Anaerolineae,,,
ASV_V3V401069,Bacteria,Chloroflexi,Dehalococcoidia,MSBL5,,
ASV_V3V401071,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatitalea
ASV_V3V401072,Bacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_Incertae_Sedis,Unknown_Family,Deferrisoma
ASV_V3V401073,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,,
ASV_V3V401074,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
ASV_V3V401076,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V401077,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV_V3V401078,Bacteria,Nitrospirae,Thermodesulfovibrionia,,,
ASV_V3V401079,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas
ASV_V3V401080,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V401081,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,,
ASV_V3V401082,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V401083,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V401084,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,
ASV_V3V401085,Bacteria,Patescibacteria,Berkelbacteria,,,
